property_type,sector,society,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,sector 14,Essel Towers,2.2,12500.0,3,4,3+,3.0,Old Property,1956.0,0,0,0,0,0,0,0
flat,sector 82,Vatika The Seven Lamps3.8 ★,0.78,5932.0,2,2,2,0.0,Relatively New,1175.0,0,0,0,0,0,1,103
flat,sector 107,M3M Woodshire4.0 ★,0.75,5490.0,2,2,3+,14.0,Relatively New,1201.0,0,0,0,1,0,0,174
flat,sector 112,Experion Windchants3.8 ★,3.65,12310.0,3,4,3+,14.0,Relatively New,2225.56,0,1,0,0,0,1,150
flat,sector 111,Puri Diplomatic Greens4.0 ★,3.45,11695.0,4,5,3+,10.0,Relatively New,2670.0,0,1,0,0,0,0,101
flat,sector 48,Vipul World3.9 ★,1.38,9485.0,3,3,1,2.0,Relatively New,1611.0,0,0,0,0,0,0,60
flat,sector 85,SS The Leaf3.8 ★,1.91,5026.0,4,6,3,6.0,Relatively New,3890.0,0,1,0,0,0,0,174
flat,sector 37d,BPTP Terra3.8 ★,1.72,7850.0,3,3,3+,10.0,Relatively New,1983.0,0,1,0,0,0,0,31
flat,sector 67,Bestech Park View Spa Next4.0 ★,2.72,11574.0,4,4,3+,0.0,Relatively New,2250.0,0,1,0,1,0,1,128
flat,sohna road,HCBS Sports Ville3.6 ★,0.32,6166.0,2,2,2,2.0,New Property,577.0,0,0,0,0,0,0,37
flat,sohna road,GLS Arawali Homes3.8 ★,0.3,5291.0,2,2,0,10.0,Relatively New,567.0,0,0,0,0,0,0,0
flat,sector 103,Indiabulls Centrum Park3.7 ★,1.15,7765.0,2,2,3,8.0,Relatively New,1250.0,1,0,0,0,0,1,135
flat,sector 66,Emaar MGF The Palm Drive4.1 ★,3.5,16471.0,3,4,3,6.0,Relatively New,2150.0,0,1,0,0,0,0,68
flat,sector 68,Pareena Mi Casa,1.0,8163.0,2,2,2,16.0,New Property,1361.0,0,1,0,0,0,0,65
flat,sector 69,Tulip Violet4.2 ★,1.3,8447.0,3,3,1,12.0,Relatively New,1392.0,0,0,0,1,0,1,94
